lab_name;tube_number;species;antigen_target;clone;company;order_number;lot_number;fluorochrome;processing;status;volume_on_arrival;cost_chf;quality_color;current_vol;antibody_code
Baggiolini;8B;human;Ki-67;REA183;Miltenyi;130-117-691;;FITC;FFPE;in use;200;1.2;good;189;120
Baggiolini;9B;human;MART-1;REA1093;Miltenyi;130-118-609;;PE;FFPE;in use;200;1.5;good;189;121
Baggiolini;10B;human/mouse;Synapsin-1;REA1125;Miltenyi;130-119-358;;FITC;FFPE;in use;200;1.2;good;134.5;122
Baggiolini;11B;human;VEGF;REAL1004;Miltenyi;130-127-122;;PE;FFPE;in use;200;2.1;no;178;123
Baggiolini;12B;human;Melanocyte PMEL;REA927;Miltenyi;130-115-472;;FITC;FFPE;in use;200;1.2;good;189;124
Baggiolini;13B;human;Desmin;REA1134;Miltenyi;130-119-490;;PE;FFPE;in use;200;1.5;ok;189;125
Baggiolini;14B;human/mouse;Neurofilament;REA1127;Miltenyi;130-119-495;;FITC;FFPE;in use;200;1.2;good;146;126
Baggiolini;15B;human;TOM22;REA1185;Miltenyi;130-122-079;;APC;FFPE;in use;200;1.5;good;189;127
Baggiolini;16B;human;Sox2;REA320;Miltenyi;130-121-053;;PE;FFPE;in use;200;1.4;good;189;128
Baggiolini;17B;human/mouse;Synaptophysin;REA1143;Miltenyi;130-119-724;;FITC;FFPE;in use;200;1.2;ok;156;129
Baggiolini;18B;human;GFAP;REAL735;Miltenyi;130-125-681;;PE;FFPE;in use;200;2.1;good;166;130
Baggiolini;19B;human;Vimentin;REA409;Miltenyi;130-118-361;;APC;FFPE;in use;200;1.4;good;189;131
Baggiolini;20B;human/mouse;SOX10;EPR4007;Abcam;ab305382;;PE;FFPE;in use;100;5.6;good;73;132
Baggiolini;21B;human;PSD95 pdz domain;108E10_;SYSY antibodies;124011;;APC (in house conj);FFPE;in use;100;7.8;good;10;133
Alimonti;1A;mouse;CD20;Goat polyclonal;Abcam;AB194970-1001;;FITC (in house conj);FFPE;in use;100;6.9;no;68;134
Alimonti;2A;mouse;CD19 ;EPR23174-145;Abcam;ab245235;;primary;FFPE;in use;20;Free;not tested;20;135
